Testlet Code,Text
Testlet2030002,"Belling the Cat</h1>One day the mice held a meeting. The cat in the house was making their lives unsafe.</div>Mark said, &#8220;Let&#8217;s hang a bell around the cat&#8217;s neck. It will tell us when the cat is near.&#8221;</div>The mice liked the plan until Mary said, &#8220;But who will put the bell on the cat?&#8221;</div>"
Testlet2030002,"When nobody spoke, the plan was given up.</div><div class='passageBody alignCenter'><img alt='The family of mice have gathered some objects in their hole. They have a ball of string, a ring, some cheese, and a whistle.' src='{cdnPath}/images/RC_L2_L70_163_tab1_page2.png'/><div class='screen-reader-only' id='RC_L2_L70_163_tab1_page2.png_DescribeId'></div></div>"
Testlet2030002,"The Farm Cat</h1>The mice lived in a barn where the farm cat always chased them.</div>&#8220;That cat is a problem!&#8221; cried Marvin.</div>The mice had different ideas. Some wanted to frighten the cat, and some wanted the dog to chase the cat away.</div>"
Testlet2030002,"Then Molly said, &#8220;Let&#8217;s move to a new farm without a cat.&#8221; And they did.</div><div class='passageBody alignCenter'><img src='{cdnPath}/images/RC_L2_L70_163_tab2_page2.png' /></div>"
Testlet7210,"Moonbows</h1>Look up after a summer shower, and you may see a magnificent arc of color that nature has painted across the sky. It&#8217;s a rainbow! This amazing sight appears when sunlight passes through droplets of water. As the sunlight hits a raindrop, it bends and separates into the rainbow's band of multiple colors. Most people have seen a rainbow, usually after an early morning or  late afternoon rain shower.</div>"
Testlet7210,"Did you know that rainbows can sometimes also be seen at night? A nighttime rainbow, called a moonbow, is a rare event. It occurs only on a clear, rainy night when the moon is almost full.  A moonbow appears when moonlight passes through a light rain or mist. Just like sunlight, the moonlight bends and separates into colors. However, since the moon is not as bright as the sun, the colors of a moonbow are very faint, often appearing white to the human eye.</div>"
Testlet7210,"There are very few places in the world that a moonbow can be seen. One of these places is Yosemite National Park. The park&#8217;s many waterfalls help create just the right conditions for a moonbow to appear. Mist from the falling waters gets caught in the light from the moon, creating the moonbow. For those fortunate enough to witness this beautiful sight, it is truly an unforgettable experience.</div>"
Testlet4220,"Little Lamb Lost</h1>Lucy smiled in excitement. Her friend Farmer Brown offered to show her how to work on his farm, and she couldn&#8217;t wait to learn!</div>Lucy spent the day milking cows, hauling hay into the stables, and pouring grain to feed the animals. Farmer Brown was a great teacher. Her last chore was to gather all the sheep and get them</div>"
Testlet4220,"back in their pen. As she did so, she counted them one by one. They were all there except for one of the little lambs. Lucy looked all around the farm, but she could not find the lamb anywhere.</div>Just then, she noticed something. A few tufts of wool were caught on the bottom rung of the wooden fence. As Lucy and Farmer Brown looked closer, they heard a faint &#8220;baa&#8221; sound.</div>"
Testlet4220,"The lamb was stuck in a nearby prickly bush and could not get free. Farmer Brown gently helped the lamb out of the bush and carried it back to the pen. The case of the missing lamb was solved, and Lucy was relieved!</div>"
